word,pos,cefr
a,determiner,A1
a.m./A.M./am/AM,adverb,A1
abandon,verb,A1
abandoned,adjective,A1
ability,noun,A1
able,adjective,A1
abnormal,adjective,A1
abnormally,adverb,A1
aboard,adverb,A1
abolish,verb,A1
aboriginal,adjective,A1
aborigine,noun,A1
about,adverb,A1
about,preposition,A1
above,adjective,A1
above,adverb,A1
above,preposition,A1
abroad,adverb,A1
abruptly,adverb,A1
absence,noun,A1
absent,adjective,A1
absentee,noun,A1
absolute,adjective,A1
absolutely,adverb,A1
absorb,verb,A1
abstract,adjective,A1
absurd,adjective,A1
abundance,noun,A1
abundant,adjective,A1
abuse,noun,A1
academic,adjective,A1
academy,noun,A1
accent,noun,A1
accept,verb,A1
acceptable,adjective,A1
acceptance,noun,A1
access,noun,A1
access,verb,A1
accessibility,noun,A1
accessible,adjective,A1
accessory,noun,A1
accident,noun,A1
accidental,adjective,A1
accidentally,adverb,A1
accommodation,noun,A1
accompany,verb,A1
accomplish,verb,A1
according to,preposition,A1
accordingly,adverb,A1
account,noun,A1
account,verb,A1
accountant,noun,A1
accumulate,verb,A1
accuracy,noun,A1
accurate,adjective,A1
accurately,adverb,A1
accusation,noun,A1
accuse,verb,A1
accustom,verb,A1
ache,noun,A1
ache,verb,A1
achievable,adjective,A1
achieve,verb,A1
achievement,noun,A1
acid,noun,A1
acknowledge,verb,A1
acknowledgment/acknowledgement,noun,A1
acquaintance,noun,A1
acquire,verb,A1
acquisition,noun,A1
across,adverb,A1
across,preposition,A1
act,noun,A1
act,verb,A1
action,noun,A1
active,adjective,A1
actively,adverb,A1
activity,noun,A1
actor,noun,A1
actress,noun,A1
actual,adjective,A1
actually,adverb,A1
acute,adjective,A1
ad,noun,A1
adapt,verb,A1
adaptable,adjective,A1
add,verb,A1
addict,noun,A1
addicted,adjective,A1
addiction,noun,A1
addition,noun,A1
additional,adjective,A1
additionally,adverb,A1
address,noun,A1
address,verb,A1
addressee,noun,A1
adequate,adjective,A1
adequately,adverb,A1
adjective,noun,A1
adjust,verb,A1
adjustment,noun,A1
administration,noun,A1
administrative,adjective,A1
admirable,adjective,A1
